time,open,high,low,close,tick_volume,spread,real_volume
2023-02-13 09:20:00+00:00,111800.0,111800.0,111800.0,111800.0,1,450,1
2023-02-13 11:15:00+00:00,111295.0,111770.0,111295.0,111295.0,7,110,7
2023-02-13 11:35:00+00:00,111945.0,112085.0,111945.0,112085.0,2,35,2
2023-02-13 11:40:00+00:00,112200.0,112200.0,112200.0,112200.0,1,60,1
2023-02-13 11:55:00+00:00,113000.0,113000.0,113000.0,113000.0,1,250,1
2023-02-13 18:05:00+00:00,113000.0,113175.0,113000.0,113175.0,4,320,4
2023-02-14 09:15:00+00:00,113200.0,113200.0,113200.0,113200.0,1,50,1
2023-02-14 10:05:00+00:00,113280.0,113280.0,113280.0,113280.0,1,310,1
2023-02-14 10:10:00+00:00,113150.0,113150.0,113005.0,113005.0,2,305,19
2023-02-14 10:15:00+00:00,113130.0,113130.0,113130.0,113130.0,1,5,1
2023-02-14 10:20:00+00:00,112800.0,112800.0,112800.0,112800.0,1,2000,5
2023-02-14 10:30:00+00:00,113000.0,113500.0,113000.0,113500.0,2,145,2
2023-02-14 11:05:00+00:00,112965.0,112965.0,112965.0,112965.0,1,215,1
2023-02-14 11:25:00+00:00,112650.0,112650.0,112650.0,112650.0,1,205,5
2023-02-14 12:25:00+00:00,112640.0,112640.0,112640.0,112640.0,1,225,10
2023-02-14 12:35:00+00:00,112400.0,112400.0,112400.0,112400.0,1,230,1
2023-02-14 13:05:00+00:00,112240.0,112240.0,112240.0,112240.0,1,85,1
2023-02-14 13:25:00+00:00,112000.0,112000.0,112000.0,112000.0,1,205,1
2023-02-14 13:40:00+00:00,111990.0,111990.0,111990.0,111990.0,1,145,5
2023-02-14 15:00:00+00:00,112010.0,112010.0,112010.0,112010.0,1,50,1
2023-02-14 15:05:00+00:00,111970.0,111970.0,111970.0,111970.0,1,40,1
2023-02-14 15:35:00+00:00,111900.0,111900.0,111900.0,111900.0,1,45,1
2023-02-14 16:00:00+00:00,111725.0,111725.0,111725.0,111725.0,1,15,1
2023-02-14 16:05:00+00:00,111725.0,111725.0,111725.0,111725.0,2,50,2
2023-02-14 16:10:00+00:00,111785.0,111785.0,111600.0,111600.0,2,30,2
2023-02-14 17:05:00+00:00,111410.0,111410.0,111410.0,111410.0,1,1200,2
2023-02-15 09:10:00+00:00,111965.0,111990.0,111965.0,111990.0,3,115,18
2023-02-15 09:20:00+00:00,111700.0,111850.0,111700.0,111850.0,2,5,4
