time,open,high,low,close,tick_volume,spread,real_volume
2023-04-06 14:20:00+00:00,105055.0,105055.0,105055.0,105055.0,1,5,1
2023-04-10 09:00:00+00:00,105055.0,105055.0,105055.0,105055.0,1,5,1
2023-04-10 09:15:00+00:00,105015.0,105015.0,105015.0,105015.0,1,5,1
2023-04-10 12:25:00+00:00,106045.0,106045.0,106045.0,106045.0,1,5,1
2023-04-10 13:00:00+00:00,105550.0,105550.0,105535.0,105535.0,2,5,18
2023-04-10 13:05:00+00:00,105535.0,105535.0,105535.0,105535.0,1,5,12
2023-04-10 13:30:00+00:00,105570.0,105570.0,105570.0,105570.0,2,5,2
2023-04-11 09:05:00+00:00,106905.0,107055.0,106905.0,107055.0,2,5,2
2023-04-11 09:30:00+00:00,107225.0,107225.0,107225.0,107225.0,1,5,1
2023-04-11 09:45:00+00:00,107300.0,107300.0,107300.0,107300.0,1,5,1
2023-04-11 09:55:00+00:00,107300.0,107300.0,107300.0,107300.0,1,5,1
2023-04-11 10:00:00+00:00,107475.0,107475.0,107475.0,107475.0,1,5,1
2023-04-11 10:10:00+00:00,108000.0,108115.0,108000.0,108115.0,6,5,10
2023-04-11 10:15:00+00:00,108980.0,109000.0,108980.0,109000.0,2,5,2
2023-04-11 10:20:00+00:00,109115.0,109115.0,109115.0,109115.0,1,5,1
2023-04-11 10:30:00+00:00,108575.0,108575.0,108575.0,108575.0,3,5,3
2023-04-11 10:45:00+00:00,108770.0,108770.0,108770.0,108770.0,1,5,1
2023-04-11 10:50:00+00:00,108715.0,108715.0,108715.0,108715.0,1,5,1
2023-04-11 11:00:00+00:00,109100.0,109250.0,109100.0,109250.0,3,5,3
2023-04-11 11:05:00+00:00,109300.0,109300.0,109065.0,109065.0,3,5,3
2023-04-11 11:10:00+00:00,109065.0,109065.0,109065.0,109065.0,1,5,1
2023-04-11 11:15:00+00:00,109235.0,109500.0,109235.0,109500.0,10,5,10
2023-04-11 11:25:00+00:00,109600.0,109715.0,109565.0,109715.0,3,5,3
2023-04-11 11:55:00+00:00,109185.0,109190.0,109185.0,109185.0,3,5,3
2023-04-11 12:50:00+00:00,109165.0,109165.0,109165.0,109165.0,1,5,1
2023-04-11 13:20:00+00:00,109365.0,109365.0,109365.0,109365.0,1,5,1
2023-04-11 14:20:00+00:00,110000.0,110000.0,110000.0,110000.0,2,5,2
2023-04-11 14:45:00+00:00,110400.0,110400.0,110400.0,110400.0,1,5,1
2023-04-11 14:55:00+00:00,110200.0,110200.0,110200.0,110200.0,5,5,6
2023-04-11 15:00:00+00:00,110005.0,110005.0,110005.0,110005.0,1,5,1
2023-04-11 15:05:00+00:00,110200.0,110200.0,110200.0,110200.0,4,5,6
2023-04-11 15:10:00+00:00,110000.0,110000.0,110000.0,110000.0,1,5,1
2023-04-11 15:25:00+00:00,110200.0,110200.0,110200.0,110200.0,7,5,10
